date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:27	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Sep%202021%2015:00:27%20GMT	http://127.0.0.1/robots.txt		(from )
17:00:28	78143/78143	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Sep%202021%2015:00:27%20GMT	http://127.0.0.1/wordpress/	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/index.html	(from )
17:00:28	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-5cae72efad580-gzip%22	http://127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.minf658.css	(from http://127.0.0.1/wordpress/)
17:00:28	17679/17679	---M-Z	200	added ('OK')	text/css	etag:%22450f-5cc0906ef5e6b-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from http://127.0.0.1/wordpress/)
17:00:28	25649/25649	---M-Z	200	added ('OK')	application/rss+xml	etag:%2261839f35e7b8c7ecebbb615c527f92d5-gzip%22	http://127.0.0.1/wordpress/feed/	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/feed/index.html	(from http://127.0.0.1/wordpress/)
17:00:28	131330/131330	---M-Z	200	added ('OK')	text/css	etag:%2220102-5cc0906de08ad-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.4	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/css/frontend.minedb1.css	(from http://127.0.0.1/wordpress/)
17:00:29	903/903	---M-Z	200	added ('OK')	text/css	etag:%22387-5cc090c66da5a-gzip%22	http://127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-11898.css?ver=1631714118	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-118980676.css	(from http://127.0.0.1/wordpress/)
17:00:29	9565/9565	---M-Z	200	added ('OK')	application/rss+xml	etag:%22849ea54e38e642addeca18a40e4b8fa3-gzip%22	http://127.0.0.1/wordpress/comments/feed/	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/comments/feed/index.html	(from http://127.0.0.1/wordpress/)
17:00:29	6729/6729	---M-Z	200	added ('OK')	text/css	etag:%221a49-5cc090c6a09d9-gzip%22	http://127.0.0.1/wordpress/wp-content/uploads/elementor/css/global.css?ver=1631714118	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/uploads/elementor/css/global0676.css	(from http://127.0.0.1/wordpress/)
17:00:30	24341/24341	---M-Z	200	added ('OK')	text/css	etag:%225f15-5cc090c6d1b0b-gzip%22	http://127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-8754.css?ver=1631714118	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-87540676.css	(from http://127.0.0.1/wordpress/)
17:00:30	39076/39076	---M-Z	200	added ('OK')	text/css	etag:%2298a4-5cc08fd9be601-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/rife-free/js/light-gallery/css/lg-transitions.min.css?ver=1.9.0	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/themes/rife-free/js/light-gallery/css/lg-transitions.min8162.css	(from http://127.0.0.1/wordpress/)
17:00:30	21027/21027	---M-Z	200	added ('OK')	text/css	etag:%225223-5cc08fd9c2480-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/rife-free/js/light-gallery/css/lightgallery.min.css?ver=1.9.0	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/themes/rife-free/js/light-gallery/css/lightgallery.min8162.css	(from http://127.0.0.1/wordpress/)
17:00:30	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%227917-5cc0906f15230-gzip%22	http://127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://127.0.0.1/wordpress/)
17:00:31	1308/1308	---M-Z	200	added ('OK')	text/css	etag:%2251c-5cc08fd9221cd-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/rife-free/css/icomoon.css?ver=2.4.13	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/themes/rife-free/css/icomoon164b.css	(from http://127.0.0.1/wordpress/)
17:00:31	208256/208256	---M-Z	200	added ('OK')	text/css	etag:%2232d80-5cc08fda07bba-gzip%22	http://127.0.0.1/wordpress/wp-content/themes/rife-free/style.css?ver=2.4.13	C:/My%20Web%20Sites/test/127.0.0.1/wordpress/wp-content/themes/rife-free/style164b.css	(from http://127.0.0.1/wordpress/)
